Carimbo de data/hora,Sua palavra,Dica 1,Dica 2,Dica 3,Dica 4,Dica 5,Dica 6,Dica 7,Dica 8,Dica 9,Dica 10,Categoria
18/06/2020 02:04:41,Eurípedes Barsanulfo,Ele (a) é filho de Hermógenes Ernesto de Araújo e Jerônima Pereira de Almeida,Ele (a)Dava aula para sua própria turma,Ele (a)fazia parte do grupo de pessoas que estudavam o Espiritismo na fazenda Santa Maria,Ele (a)recebeu de Vicente de Paulo uma mensagem que o convoca a assumir a Doutrina dos Espíritos.,Ele (a) fundou o Grupo Espírita Esperança e Caridade no ano de 1905,Ele (a)Recebia milhares de cartas oriundas de todo o Brasil,No dia 1º de abril de 1907 Ele(a) fundou o Colégio Allan Kardec.,Ele (a) morreu por ocasião da pavorosa pandemia de gripe espanhola que assolou o mundo em 1918,Ele (a)Morreu no dia 1º de novembro de 1918 aos 38 anos,Ele (a) é conhecido como apóstolo do triângulo,Pessoa
17/06/2020 07:40:05,FEB,Federativa,Organização Nacional,Auxílio institucional ,Muitas casas espíritas alinhadas em um objetivo ,Assistência social nacional ,Grandes Eventos Nacionais,Edição de Livros para todo o Brasil,Sede atual em Brasília ,Teve início no Rio de Janeiro,Bezerra de Menezes é um dos grandes nomes desse lugar,Lugar
16/06/2020 22:09:36,Grupo da Fraternidade Irmã Ló,As pessoas se sentem muito bem aqui,Tem muitos espíritos,Me criaram na década de 1980,Estou em Minas Gerais,Aqui eu deixo os jovens sentarem-se no chão,Meu tamanho é pequenino,Levo a fraternidade no meu nome,A Doutrina Espírita e o Evangelho de Jesus são minha base,Minhas paredes têm mais de 60 anos,Meu compromisso é com a alegria,Lugar
16/06/2020 21:01:36,Grupo de Fraternidade Espírita Irmã Scheilla ,É uma casa espírita ,Faz parte do Movimento da Fraternidade ,Tem um coral com seu nome,Possui dois endereços ,Leva o nome de uma enfermeira ,Fica em Belo Horizonte ,Cabe apropriadamente 500 pessoas ao mesmo tempo,Possui um abrigo de menores dentro de suas dependências ,Tem um piano em seu salão ,Tem reunião pública todos os dias ,Lugar
17/06/2020 16:04:06,Hospital Espírita André Luiz,É um centro de restabelecimento da saúde .,Está localizado em Belo Horizonte.,Sua proposta de trabalho é admirável.,Contribui unindo a ciência ao trabalho da espiritualidade.,É voltado para pessoas com sofrimento mental e também para homens com drogadição (vício em drogas).,Seu nome está vinculado a espírito que muito nos ajuda com suas mensagens de instrução.,O atendimento é humanizado e pautado pelo acolhimento e pela fraternidade.,A sigla correspondente ao seu nome é HEAL,É uma instituição filantrópica (gratuita).,O autor espiritual de Nosso Lar é homenageado dando nome ao lugar.,Lugar
16/06/2020 22:14:47,Jair Soares,Tenho quatro filhos,Nasci no interior de Minas Gerais,Nasci em 1910,Desencarnei em 1992,Sou filho de Manoel Luiz e Laura Augusta,Trabalhei como Técnico de Contabilidade,Me casei com Elvira em 1932,Fui um grande trabalhador do Movimento da Fraternidade,Em 1971 fiquei viúvo,Transformei minha casa em um Grupo de Fraternidade,Pessoa
16/06/2020 21:42:53,Jesus ,Realizei milagres ,Vim espalhar a palavra de Deus ,Me preparei por muito tempo para poder vir a terra ,Sou exemplo de evolução para vocês ,Andei sobre as águas ,Trouxe a palavra do amor ,Mostrei que Deus é um pai de amor e não de castigos ,Foram criadas religiões sobre mim ,Existem feriados em minha homenagem ,A cruz é usada para me representar ,Pessoa
17/06/2020 22:46:31,José Grosso,Não sou uma pessoa muito fina.,Uma das minhas encarnações foi na Germânia e meu nome era Johannes. Faleci em 751.,Reencarnei no Brasil em 1896.,Meu nome na minha última reencarnação foi José da Silva.,Tive meus dois olhos perfurados por uma faca.,Não concordei com a forma de vida do meu bando e comecei a avisar a população sobre invasões.,Sou irmão de um espírito conhecido pela sua alegria.,Pertenci ao movimento do Cangaço no Nordeste do Brasil.,Manifesto em reuniões em casas espíritas.,Sou um mentor do Movimento da Fraternidade.,Pessoa
19/06/2020 16:18:22,Kardec,Sou pedagogo,Escrevi diversos livros sobre os mais variados temas,Fui aluno de Pestalozzi,Nasci em 3 de outubro de 1804,Sou francês,Fui casado com Amélie Boudet,Fizeram um filme sobre mim em 2019,Sou conhecido por um pseudônimo,Meu nome verdadeiro é Hyppolyte Léon Denizard Rivail ,Um dos meus livros mais famosos foi lançado em 1857,Pessoa
18/06/2020 22:23:50,Livre arbítrio,Sabe essa colheita aí que você está reclamando? Então tem a ver comigo!,Sou um princípio básico do espiritismo.,Tem gente que não sabe me usar.,Deterministas pensam que não existo.,Oportunizo o progresso dos homens (e das mulheres e de todxs que não se identificam com estes padrões binários),Cheguei para vocês humanos junto à racionalidade.,Se me usar muito mal prejudicando os outros você tá cada vez menos de mim..,Santo Agostinho escreveu uma obra sobre mim com três volumes.,Você decide!,Perca a vez. Mas só se quiser.,Coisa
17/06/2020 22:44:25,Livro dos Médiuns,Pentateuco,Kardec,Fenômenos ,Pneumatografia ,Comunicação ,Manifestações ,Dividido em duas partes ,Primeira publicação: 1861,Segundo livro da codificação ,Guia dos evocadores,Livro
17/06/2020 23:19:26,Materialização,Utilizo ectoplasma.,Sou um fenômeno explicado por Kardec.,Comigo é possível ver os espíritos sob uma forma vaporosa e transparente às vezes imprecisa.,Outros cientistas já me estudaram.,Peixotinho é uma referência quando falam de mim.,Fui utilizada para curar a dona Ló.,Por minha causa Maria Alice nossa mentora era vista dançando na reuniões. ,Tem um museu sobre mim no Grupo Irmã Ló.,Aconteci frequentemente na década de 50 no Grupo Ló.,Através de mim espíritos trouxeram pedras de lugares bem longes para as reuniões que aconteciam.,Coisa
17/06/2020 22:38:17,Mocidade ,Amizade,Juventude,Abraços,Tarefas,Pipoca,Uma turminha legal,Maria Alice,Maria João de Deus,Comemofra ,Comebh,Lugar
18/06/2020 08:16:48,Nosso Lar,Lugar ,Uma colônia ,Tem um livro sobre,Parece uma Cidade ,Muitos querem ir pra lá ,Tem um alto Pv,Modelo de organização ,Seu conhecimento foi trazido por Chico ,André Luiz residiu lá ,Pra onde alguns vão quando desencarnados,Lugar
19/06/2020 16:20:04,Nosso Lar,Um médico escreveu um livro sobre mim ,Wagner de Assis dirigiu um filme sobre mim,Dou nome a um livro e a um filme,Meu filme alcançou 1.6 milhões de espectadores nos cinemas em apenas 10 dias ,Pessoas que já morreram vivem aqui ,Estou na região do Rio de Janeiro,Meu filme foi visto por mais 4 milhões de espectadores nos cinemas ,Uma existência é um ato. Um corpo ­uma veste. Um século  um dia. Um serviço ­ uma experiência. Um triunfo ­ uma aquisição. Uma morte ­ um sopro renovador. ,Aqui há um tipo diferente de ônibus. ,O livro sobre mim compõe a coleção “A vida no mundo espiritual”. ,Livro
18/06/2020 20:29:30,Novos Horizontes,É uma colônia espiritual.,Situa-se perto da Serra do Curral.,Esse local foi citado pelo espírito João Lúcio em um dos livros espíritas.,Existe uma faculdade em Belo Horizonte com esse nome.,"Se Rio de Janeiro está para ""Nosso Lar"" Belo Horizonte está para ""...""",É uma das 58 colônias espirituais que situam no Brasil.,João Lúcio foi um dos habitantes desse lugar.,O livro que menciona este lugar tem 190 páginas.,As equipes espirituais que habitam este lugar auxiliam também a cidade de Belo Horizonte.,O médium que psicografou o livro que cita esse lugar chama Wagner Gomes da Paixão.,Lugar
18/06/2020 11:01:37,O Céu e o Inferno,É um livro.,Seu principal escopo é explicar a Justiça de Deus à luz da Doutrina Espírita.,Objetiva demonstrar a imortalidade do Espírito e a condição que ele usufruirá no Mundo Espiritual,Divide-se em duas partes principais.,A primeira estabelece um exame comparado das doutrinas religiosas sobre a vida após a morte.,A segunda parte reúne exemplos acerca da situação da alma durante e após a desencarnação.,Constam desta parte narrações de espíritos felizes infelizes sofredores suicidas criminosos etc.,Elaborado por Allan Kardec.,Publicado em 1865.,Uma das cinco obras básicas que compõem a Codificação do Espiritismo.,Livro
18/06/2020 11:04:42,O Evangelho segundo o Espiritismo,É um livro.,Possui 28 capítulos.,Foi elaborado por Allan Kardec.,Uma das cinco obras básicas que compõem a Codificação do Espiritismo.,Desenvolvido pelos Espíritos superiores em comunicações mediúnicas.,Tem caráter educativo motivador e consolador.,A obra traz um estudo sobre o papel de precursores do cristianismo e do espiritismo como por exemplo Sócrates e Platão.,É o ensino moral de Jesus para os cristãos de qualquer crença.,Foi publicado em Paris em 15 de abril de 1864.,"Obra inaugurada como ""Imitação do Evangelho Segundo o Espiritismo"".",Livro
17/06/2020 07:49:34,O Livro dos Espíritos ,Obra inaugural do espiritismo,Fundamento do Espiritismo,Base filosófica,Perguntas e Respostas ,A edição atual tem 1019 itens,Serviu de base para a edição de outros livros,Sua primeira edição teve tinha 501 itens,18 de abril de 1857,Para não conhecedores seu nome causa medo.,Publicado em Paris,Livro
18/06/2020 17:07:57,Palminha,Ja foi encarnado em vários países,Pertencia  a um dos bandos da época na década de trinta no Nordeste.,Desencarnou no Piauí,Filho do casal Gerônimo/Francisca,Quando presente proporciona gargalhadas e alegria,Antonio da Silva era seu nome quando tava encarnado aqui no Brasil,Quando se manifestava em reuniões de efeitos físico de suas mãos saíam raios de luz.,Irmão de José da Silva,Pediu cantinho de amor (essa é pra quem foi na ultima comemofra kkk),Voz fina,Pessoa
17/06/2020 20:42:30,Passe,"A pessoa vem e pergunta ""Quer toma um""",A pessoa tem que ficar com os olhos fechados,Usa as Mãos para fazer o,Quando está fazendo tem uma troca de energia,São médiuns que fazem isso ,É transmitido pelas mãos mas também pode ser feito pelo olhar pelo sopro ou à distância, Isso tbm é uma transfusão de energias psíquicas,Você está sentado no momento,Ficam pessoas em pé na hora na sua frente,Nós livro dos espíritos fala sobre fluido cósmico universal q tem ave com isso,Coisa
18/06/2020 21:35:51,Pensamento e Vida,Foi o livro tema da Comemofra do ano de 2020.,Foi psicografado pelo médium Chico Xavier.,Foi ditado pelo espírito Emmanuel.,Existem 30 capítulos.,"O primeiro capítulo chama ""O Espelho da Vida""",É um dos 412 livros psicografados pelo Chico Xavier.,Foi publicado em 1958.,"O capítulo 16 tem como título ""Vocação"" enquanto o capítulo 17 tem como título ""Profissão"".",Uma das frases mais famosas deste livro é “O pensamento sombrio adoece o corpo são e agrava os males do corpo enfermo.”,Informa Emmanuel que este livro é utilizado no plano espiritual para auxiliar espíritos que vão reencarnar.,Livro
16/06/2020 21:59:04,Perispírito ,Sou parte de você ,Ajudo a sua alma se moldar em seu formato ,"Estou ""entre"" a alma e o corpo ",Posso ser modificado ,Estou fortemente ligado ao corpo ,Quando você está fora do corpo  posso permanecer na forma do mesmo,A materia da qual sou feita é muito menos densa que a do corpo  ,Meu nome só é sitado no espiritismo ,Posso não ser ligado com a matéria ,Algumas marcas no corpo podem passar para mim ,Coisa
16/06/2020 21:40:48,Reencarnação ,Coisa,Acontece após o espírito passar certo tempo no plano espiritual ,Você pode participar do seu planejamento ou não ,Pode ser compulsória em certos momentos ,12 letras,Tem uma música do Grupo Bem com esse nome,Você só está aqui graças a ela,Pode acontecer na Terra e em diferentes lugares,Jesus fez,Troca do envoltório corporal ,Coisa
18/06/2020 08:16:48,Reunião mediunica ,Coisa,Tem em casas espiritas ,Precisa de médiuns ,É uma tarefa espírita ,Serve de amparo para encarnados,Serve de amparo para desencarnados ,Acontece manifestações mediunicas de todas as formas,Ferramenta de educação mediúnica ,Reuniões com desencarnados ,Exige concentração e disciplina ,Coisa
18/06/2020 11:03:15,Scheilla,É uma pessoa.,Já desencarnou.,Mentora de uma mocidade espírita famosa em Belo Horizonte.,Enquanto encarnada exercia as funções de enfermeira em Hamburgo Alemanha.,Desencarnou durante um bombardeio aéreo na Segunda Guerra Mundial.,"Escreveu a obra ""Mãos Marcadas"" através do médium Chico Xavier.",Atuava nas reuniões espíritas do grupo de Peixotinho no atendimento aos doentes que procuravam a ajuda do médium.,Fez uma intervenção na garganta de Divaldo Franco curando-o de um grave problema.,Materializava-se (de corpo inteiro) como uma mulher loira cabelos longos em tranças.,Exala forte perfume de rosas (característica sempre presente desse espírito tão iluminado).,Pessoa
16/06/2020 21:14:14,Violetas na janela,É um romance espírita.,Narrado pelo espírito Patrícia.,Psicografado pela médium Vera Lúcia Marinzeck de Carvalho.,Publicado em 1993.,A médium é tia da autora espiritual.,Envolve a Colônia São Sebastião.,É um best-seller brasileiro.,Em 2004 as vendas passaram de um milhão de cópias.,A história deste livro foi adaptada para o teatro.,O nome da obra contém o nome de uma planta.,Livro
